date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:02	372/372	---M--	200	added ('OK')	text/plain	date:Sat,%2029%20Oct%202022%2010:09:53%20GMT	https://www.thelimitfit.com/robots.txt		(from )
15:39:03	783725/783725	---MCZ	200	added ('OK')	text/html	etag:W/%221f530a01ac62fc718ec5faec62c1b99a%22	https://www.thelimitfit.com/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/index.html	(from )
15:39:03	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.thelimitfit.com/)
15:39:03	453/453	---M--	200	added ('OK')	image/png	date:Fri,%2028%20Oct%202022%2007:54:53%20GMT	https://static.wixstatic.com/media/38bacd_9662dc8c7e5543fbb2020268bef38522~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/38bacd_9662dc8c7e5543fbb2020268bef38522~mv2.png	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/static.wixstatic.com/media/38bacd_9662dc8c7e5543fbb2020268bef38522_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/38bacd_9662dc8c7e5543fbb2020268bef38522_mv2.0	(from https://www.thelimitfit.com/)
15:39:04	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.thelimitfit.com/)
15:39:04	65588/65588	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2026%20Oct%202022%2016:31:53%20GMT	https://polyfill.io/v3/polyfill.min.js?features=fetch	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/polyfill.io/v3/polyfill.mind82c.js	(from https://www.thelimitfit.com/)
15:39:04	65254/65254	---M-Z	200	added ('OK')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.thelimitfit.com/)
15:39:05	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:09:56%20GMT	https://www.thelimitfit.com/decodeURIComponent(e	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/decodeURIComponent(e	(from https://www.thelimitfit.com/)
15:39:06	600/600	---M--	200	added ('OK')	text/xml	date:Sat,%2029%20Oct%202022%2010:09:57%20GMT	https://www.thelimitfit.com/sitemap.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/sitemap.xml	(from https://www.thelimitfit.com/)
15:39:07	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:09:58%20GMT	https://www.thelimitfit.com/feed.xml	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/feed.xml	(from https://www.thelimitfit.com/)
15:39:07	184042/184042	---M-Z	200	added ('OK')	application/javascript	etag:W/%223b3cf8a1dca3a22adc4d2bd4a00c6bf3%22	https://static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.9ca6e510.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/static.parastorage.com/services/wix-thunderbolt/dist/bootstrap-features.9ca6e510.bundle.min.js	(from https://www.thelimitfit.com/)
15:39:07	185000/185000	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ef2b70eef42e4574ae3c41c01b940199%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.cb675ae8.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/static.parastorage.com/services/wix-thunderbolt/dist/main.cb675ae8.bundle.min.js	(from https://www.thelimitfit.com/)
15:39:07	73015/73015	---M-Z	200	added ('OK')	application/javascript	etag:W/%229becc40fb1d85d21d0ca38e2f7069511%22	https://static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/static.parastorage.com/unpkg/lodash@4.17.21/lodash.min.js	(from https://www.thelimitfit.com/)
15:39:07	12463/12463	---M-Z	200	added ('OK')	application/javascript	etag:W/%2263d498e143f421cc44dfb64f22fef270%22	https://static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/static.parastorage.com/unpkg/react@16.14.0/umd/react.production.min.js	(from https://www.thelimitfit.com/)
15:39:08	11216/11216	---M-Z	200	added ('OK')	application/javascript	etag:W/%2274b64900831a2e814a8ff0cdedcf80cb%22	https://static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/static.parastorage.com/services/tag-manager-client/1.427.0/siteTags.bundle.min.js	(from https://www.thelimitfit.com/)
15:39:08	41172/41172	---M-Z	200	added ('OK')	application/javascript	etag:W/%2272cd3e3e90088aa5acd84acd0d7346c6%22	https://static.parastorage.com/services/wix-perf-measure/1.1042.0/wix-perf-measure.bundle.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/static.parastorage.com/services/wix-perf-measure/1.1042.0/wix-perf-measure.bundle.min.js	(from https://www.thelimitfit.com/)
15:39:08	118656/118656	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c5abc87541fe6bb0f43f22af475a8b20%22	https://static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/static.parastorage.com/unpkg/react-dom@16.14.0/umd/react-dom.production.min.js	(from https://www.thelimitfit.com/)
15:39:09	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:00%20GMT	https://www.thelimitfit.com/eec152dc.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/eec152dc.min.css	(from https://www.thelimitfit.com/)
15:39:09	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:00%20GMT	https://www.thelimitfit.com/version/	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/version/index.html	(from https://www.thelimitfit.com/)
15:39:09	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:00%20GMT	https://www.thelimitfit.com/da6c52cb.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/da6c52cb.min.css	(from https://www.thelimitfit.com/)
15:39:10	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:01%20GMT	https://www.thelimitfit.com/b604fd33.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/b604fd33.min.css	(from https://www.thelimitfit.com/)
15:39:10	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:01%20GMT	https://www.thelimitfit.com/7c602eb2.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/7c602eb2.min.css	(from https://www.thelimitfit.com/)
15:39:11	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:02%20GMT	https://www.thelimitfit.com/caeea34d.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/caeea34d.min.css	(from https://www.thelimitfit.com/)
15:39:11	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:02%20GMT	https://www.thelimitfit.com/47b73115.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/47b73115.min.css	(from https://www.thelimitfit.com/)
15:39:12	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:03%20GMT	https://www.thelimitfit.com/99a6a99f.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/99a6a99f.min.css	(from https://www.thelimitfit.com/)
15:39:12	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:03%20GMT	https://www.thelimitfit.com/34b72cf9.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/34b72cf9.min.css	(from https://www.thelimitfit.com/)
15:39:13	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:04%20GMT	https://www.thelimitfit.com/7a36fe10.chunk.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/7a36fe10.chunk.min.js	(from https://www.thelimitfit.com/)
15:39:13	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:04%20GMT	https://www.thelimitfit.com/e3671379.chunk.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/e3671379.chunk.min.js	(from https://www.thelimitfit.com/)
15:39:14	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:05%20GMT	https://www.thelimitfit.com/rb_wixui.thunderbolt~bootstrap-classic.db545a77.chunk.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/rb_wixui.thunderbolt_bootstrap-classic.db545a77.chunk.min.js	(from https://www.thelimitfit.com/)
15:39:14	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:05%20GMT	https://www.thelimitfit.com/rb_wixui.thunderbolt~bootstrap.8a86afda.chunk.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/rb_wixui.thunderbolt_bootstrap.8a86afda.chunk.min.css	(from https://www.thelimitfit.com/)
15:39:15	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:06%20GMT	https://www.thelimitfit.com/rb_wixui.thunderbolt~bootstrap.7a36fe10.chunk.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/rb_wixui.thunderbolt_bootstrap.7a36fe10.chunk.min.js	(from https://www.thelimitfit.com/)
15:39:15	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:06%20GMT	https://www.thelimitfit.com/rb_wixui.thunderbolt~bootstrap-responsive.f3ca696f.chunk.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/rb_wixui.thunderbolt_bootstrap-responsive.f3ca696f.chunk.min.css	(from https://www.thelimitfit.com/)
15:39:16	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:07%20GMT	https://www.thelimitfit.com/rb_wixui.thunderbolt~bootstrap-responsive.e3671379.chunk.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/rb_wixui.thunderbolt_bootstrap-responsive.e3671379.chunk.min.js	(from https://www.thelimitfit.com/)
15:39:16	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:07%20GMT	https://www.thelimitfit.com/rb_wixui.thunderbolt~common-site-members-dialogs.384b0b57.chunk.min.css	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/rb_wixui.thunderbolt_common-site-members-dialogs.384b0b57.chunk.min.css	(from https://www.thelimitfit.com/)
15:39:17	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2029%20Oct%202022%2010:10:08%20GMT	https://www.thelimitfit.com/rb_wixui.thunderbolt~common-site-members-dialogs.2059cbfd.chunk.min.js	C:/Users/RAJAT%20SINGH/OneDrive/Desktop/Internship%20myknot/Day7/Web39/Site39/www.thelimitfit.com/rb_wixui.thunderbolt_common-site-members-dialogs.2059cbfd.chunk.min.js	(from https://www.thelimitfit.com/)
